Date,IR1-1-discard,IR1-1-baseline,IR1-1-up,IR1-1-lower,IR1-2-discard,IR1-2-baseline,IR1-2-up,IR1-2-lower,IR2-1-discard,IR2-1-baseline,IR2-1-up,IR2-1-lower,IR2-2-discard,IR2-2-baseline,IR2-2-up,IR2-2-lower,IR3-1-discard,IR3-1-baseline,IR3-1-up,IR3-1-lower,IR3-2-discard,IR3-2-baseline,IR3-2-up,IR3-2-lower,IR4-1-discard,IR4-1-baseline,IR4-1-up,IR4-1-lower,IR4-2-discard,IR4-2-baseline,IR4-2-up,IR4-2-lower,IR5-1-discard,IR5-1-baseline,IR5-1-up,IR5-1-lower,IR5-2-discard,IR5-2-baseline,IR5-2-up,IR5-2-lower,IR6-1-discard,IR6-1-baseline,IR6-1-up,IR6-1-lower,IR6-2-discard,IR6-2-baseline,IR6-2-up,IR6-2-lower,IR7-1-discard,IR7-1-baseline,IR7-1-up,IR7-1-lower,IR7-2-discard,IR7-2-baseline,IR7-2-up,IR7-2-lower,IR8-1-discard,IR8-1-baseline,IR8-1-up,IR8-1-lower,IR8-2-discard,IR8-2-baseline,IR8-2-up,IR8-2-lower,IR9-1-discard,IR9-1-baseline,IR9-1-up,IR9-1-lower,IR9-2-discard,IR9-2-baseline,IR9-2-up,IR9-2-lower,IR10-1-discard,IR10-1-baseline,IR10-1-up,IR10-1-lower,IR10-2-discard,IR10-2-baseline,IR10-2-up,IR10-2-lower,IR11-1-discard,IR11-1-baseline,IR11-1-up,IR11-1-lower,IR11-2-discard,IR11-2-baseline,IR11-2-up,IR11-2-lower,IR12-1-discard,IR12-1-baseline,IR12-1-up,IR12-1-lower,IR12-2-discard,IR12-2-baseline,IR12-2-up,IR12-2-lower
Sep_14,FALSE,0.02,0.05,0,FALSE,0.02,0.04,0,FALSE,0.04,0.09,0,FALSE,0.025,0.05,0,TRUE,,,0,FALSE,0.025,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.04,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0,FALSE,0.02,0.04,0,FALSE,0.02,0.04,0,FALSE,0.0125,0.025,0,FALSE,0.02,0.05,0,FALSE,0.035,0.07,0,FALSE,0.02,0.05,0,FALSE,0.02,0.05,0
Sep_17,FALSE,0.004453,0.036168,0.000978,FALSE,0.003982,0.033236,0.000978,FALSE,0.015521,0.09,0.002933,TRUE,0.1059,0.14565,0.088954,FALSE,0.007099,0.040078,0,FALSE,0.008672,0.048876,0,FALSE,0.003633,0.032258,0,FALSE,0.011609,0.470186,0,FALSE,0.005424,0.039101,0.000978,FALSE,0.006024,0.043988,0.000978,FALSE,0.005734,0.034213,0,FALSE,0.008562,0.043011,0,FALSE,0.006426,0.033236,0,FALSE,0.006835,0.037146,0,FALSE,0.005126,0.033236,0.000978,FALSE,0.049571,0.086022,0.036168,FALSE,0.110129,0.142717,0.095797,FALSE,0.002739,0.032258,0.000978,FALSE,0.003749,0.036168,0,FALSE,0.003176,0.01955,0,FALSE,0.00557,0.039101,0.000978,FALSE,0.019106,0.056696,0.00391,FALSE,0.004426,0.035191,0.000978,FALSE,0.010019,0.046921,0.000978
Sep_18,FALSE,0.00462,0.034213,0.000978,FALSE,0.003995,0.031281,0.000978,FALSE,0.0155,0.09,0,TRUE,0.092353,0.132942,0.061584,TRUE,0.331718,0.364614,0.311828,FALSE,0.010277,0.047898,0,FALSE,0.003951,0.029326,0,FALSE,0.005338,0.040078,0,FALSE,0.005865,0.005865,0.005865,FALSE,0.001955,0.001955,0.001955,FALSE,0.005865,0.005865,0.005865,FALSE,0.006843,0.006843,0.006843,FALSE,0.013685,0.013685,0.013685,FALSE,0.030303,0.030303,0.030303,FALSE,0.000978,0.000978,0.000978,FALSE,0.001955,0.001955,0.001955,TRUE,0.094963,0.13001,0.079179,FALSE,0.002908,0.030303,0.000978,FALSE,0,0.04,0,FALSE,0.001955,0.001955,0.001955,FALSE,0.005508,0.038123,0.000978,FALSE,0.005732,0.038123,0.000978,FALSE,0.005159,0.054741,0.000978,FALSE,0.006365,0.047898,0.000978
Sep_19,FALSE,0.003677,0.033236,0.000978,FALSE,0.003444,0.033236,0.000978,FALSE,0.016271,0.09,0.001955,TRUE,0.103631,0.155425,0.081134,TRUE,0.326253,0.367546,0.312805,FALSE,0.012298,0.050831,0.001955,FALSE,0.004108,0.037146,0,FALSE,0.005367,0.040078,0,FALSE,0.006329,0.039101,0.000978,FALSE,0.006311,0.033236,0.000978,FALSE,0.006507,0.036168,0,FALSE,0.009607,0.043988,0,FALSE,0.006347,0.035191,0,FALSE,0.00689,0.038123,0,FALSE,0.005934,0.035191,0.000978,FALSE,0.006132,0.042033,0.000978,FALSE,0.009652,0.048876,0,FALSE,0.001441,0.029326,0,FALSE,0.004669,0.035191,0.000978,FALSE,0.003624,0.01955,0.000978,FALSE,0.005645,0.038123,0.000978,FALSE,0.006121,0.038123,0.000978,FALSE,0.004679,0.037146,0.000978,FALSE,0.006543,0.041056,0.000978
Sep_20,FALSE,0.003405,0.025415,0.000978,FALSE,0.003424,0.029326,0.000978,FALSE,0.02088,0.09,0.00391,TRUE,0.10511,0.160313,0.084066,TRUE,0.005654,0.021505,0.000978,FALSE,0.009379,0.043011,0.000978,FALSE,0.004758,0.031281,0,FALSE,0.006384,0.035191,0,FALSE,0.004194,0.040078,0,FALSE,0.004442,0.038123,0,FALSE,0.007721,0.032258,0.000978,FALSE,0.009041,0.044966,0.000978,FALSE,0.00757,0.038123,0.000978,FALSE,0.007972,0.034213,0.000978,FALSE,0.005296,0.044966,0,FALSE,0.005443,0.041056,0,FALSE,0.006805,0.041056,0,FALSE,0.001328,0.031281,0,FALSE,0.005041,0.033236,0.000978,FALSE,0.00403,0.022483,0.000978,FALSE,0.006034,0.033236,0.000978,FALSE,0.00558,0.033236,0.000978,FALSE,0.004608,0.030303,0.000978,FALSE,0.006966,0.038123,0.000978
Sep_21,FALSE,0.004285,0.02346,0.000978,FALSE,0.003616,0.031281,0.000978,FALSE,0.017631,0.09,0.004888,TRUE,0.039333,0.089932,0.022483,FALSE,0.00636,0.02737,0.000978,FALSE,0.011191,0.045943,0.000978,FALSE,0.004948,0.035191,0,FALSE,0.006279,0.037146,0,FALSE,0.00411,0.02737,0,FALSE,0.004922,0.034213,0,FALSE,0.006973,0.029326,0.000978,FALSE,0.008862,0.042033,0.000978,FALSE,0,0.01,0,FALSE,0,0.01,0,FALSE,0.004212,0.034213,0,FALSE,0.004758,0.033236,0,TRUE,0.001726,0.02737,0,FALSE,0.001758,0.024438,0,FALSE,0.004893,0.028348,0.000978,FALSE,0.003677,0.01564,0.000978,FALSE,0.006995,0.032258,0.000978,FALSE,0.006093,0.031281,0.000978,FALSE,0.005356,0.043011,0.000978,FALSE,0.007301,0.044966,0.000978
Sep_24,FALSE,0.003604,0.037146,0.000978,FALSE,0.003591,0.032258,0.000978,FALSE,0.023822,0.09,0.01173,TRUE,0.529279,0.55132,0.496579,FALSE,0.005899,0.01564,0.000978,FALSE,0.010849,0.053763,0.000978,FALSE,0.004764,0.033236,0,FALSE,0.005789,0.040078,0,FALSE,0.003831,0.034213,0,FALSE,0.004437,0.025415,0,FALSE,0.007214,0.032258,0.000978,FALSE,0.009233,0.033236,0.000978,FALSE,0,0.01,0,FALSE,0,0.01,0,FALSE,0.004501,0.034213,0,FALSE,0.005012,0.041056,0,TRUE,0.310801,0.343109,0.302053,FALSE,0.002249,0.026393,0,FALSE,0.004678,0.034213,0.000978,FALSE,0.003953,0.024438,0.000978,FALSE,0.006043,0.035191,0.000978,FALSE,0.005594,0.035191,0.000978,FALSE,0.005046,0.050831,0.000978,FALSE,0.0074,0.042033,0.000978
Sep_25,FALSE,0.003779,0.035191,0.000978,FALSE,0.003487,0.02737,0.000978,FALSE,0.023973,0.09,0.008798,TRUE,0.472044,0.526882,0.423265,FALSE,0.005748,0.020528,0.000978,FALSE,0.010026,0.047898,0.000978,FALSE,0.004782,0.037146,0,FALSE,0.006362,0.037146,0,FALSE,0.003903,0.025415,0,FALSE,0.004994,0.034213,0,FALSE,0.007294,0.032258,0.000978,FALSE,0.009305,0.056696,0.000978,FALSE,0,0.01,0,FALSE,0,0.01,0,FALSE,0.004391,0.033236,0,FALSE,0.005467,0.040078,0,TRUE,0.273573,0.313783,0.26002,FALSE,0.002265,0.02737,0,FALSE,0.004717,0.030303,0.000978,FALSE,0.003855,0.02346,0.000978,FALSE,0.005978,0.042033,0.000978,FALSE,0.006022,0.034213,0.000978,FALSE,0.005184,0.048876,0.000978,FALSE,0.006799,0.047898,0.000978
Sep_26,FALSE,0.003991,0.033236,0.000978,FALSE,0.00378,0.035191,0.000978,FALSE,0.023766,0.09,0.001955,TRUE,0.483881,0.532747,0.45259,FALSE,0.00607,0.025415,0.000978,FALSE,0.011379,0.048876,0.000978,FALSE,0.005042,0.033236,0,FALSE,0.00638,0.043988,0,FALSE,0.00402,0.034213,0,FALSE,0.004474,0.042033,0,FALSE,0.020764,0.099707,0.000978,FALSE,0.010305,0.043011,0.000978,FALSE,0,0.01,0,FALSE,0,0.01,0,FALSE,0.005052,0.039101,0,FALSE,0.005318,0.038123,0,TRUE,0.297097,0.332356,0.278592,FALSE,0.002197,0.033236,0,FALSE,0.004874,0.037146,0.000978,FALSE,0.00393,0.021505,0.000978,FALSE,0.005723,0.044966,0.000978,FALSE,0.005573,0.036168,0.000978,FALSE,0.004684,0.079179,0.000978,FALSE,0.006804,0.055718,0.000978
Sep_27,FALSE,0.008591,0.039101,0.000978,FALSE,0.008163,0.035191,0.000978,FALSE,0.025585,0.09,0.006843,TRUE,0.532957,0.554252,0.494624,FALSE,0.007923,0.025415,0.000978,FALSE,0.012475,0.046921,0.000978,FALSE,0.004758,0.02737,0,FALSE,0.007082,0.038123,0,FALSE,0.005223,0.026393,0,FALSE,0.005773,0.038123,0,FALSE,0.010159,0.036168,0.000978,FALSE,0.012881,0.034213,0.000978,FALSE,0,0.01,0,FALSE,0,0.01,0,FALSE,0.006426,0.034213,0,FALSE,0.006595,0.031281,0,TRUE,0.336067,0.384164,0.302053,FALSE,0.002999,0.034213,0,FALSE,0.012409,0.040078,0.000978,FALSE,0.011258,0.02737,0.000978,FALSE,0.009023,0.032258,0.000978,FALSE,0.007473,0.039101,0.000978,FALSE,0.006957,0.071359,0.000978,FALSE,0.007252,0.071359,0.000978
