Time,Occupancy
106.0847993281471,6
265.21199832036774,6
424.3391973125884,6
583.466396304809,6
742.5935952970297,7
901.7207942892503,8
1060.847993281471,8
1219.9751922736916,8
1379.1023912659123,7
1538.229590258133,7
1697.3567892503536,7
1856.483988242574,7
2015.6111872347947,7
2174.7383862270153,7
2333.865585219236,6
2492.9927842114566,6
2652.1199832036773,6
2811.247182195898,7
2970.3743811881186,7
3129.5015801803393,6
3288.62877917256,8
3447.7559781647806,7
3606.8831771570012,6
3766.010376149222,7
3925.1375751414425,7
4084.264774133663,7
4243.391973125884,7
4402.5191721181045,7
4561.646371110325,7
4720.773570102546,6
4879.9007690947665,6
5039.027968086987,5
5198.155167079208,6
5357.282366071428,8
5516.409565063649,8
5675.53676405587,9
5834.66396304809,9
5993.791162040311,7
6152.918361032532,7
6312.045560024752,7
6471.172759016973,6
6630.299958009194,7
6789.427157001414,6
6948.554355993635,5
7107.681554985855,5
7266.808753978075,5
7425.935952970296,6
7585.063151962517,6
7744.190350954737,9
7903.317549946958,6
8062.444748939179,7
8221.5719479314,8
8380.69914692362,7
8539.82634591584,6
8698.953544908061,7
8858.080743900282,7
9017.207942892503,8
9176.335141884723,7
9335.462340876944,6
9494.589539869165,8
9653.716738861385,8
9812.843937853606,8
9971.971136845827,9
10131.098335838047,10
10290.225534830268,9
10449.352733822489,8
10608.47993281471,8
10767.60713180693,8
10926.73433079915,8
11085.861529791371,8
11244.988728783592,8
11404.115927775812,10
11563.243126768033,8
11722.370325760254,8
11881.497524752474,8
12040.624723744695,7
12199.751922736916,9
12358.879121729136,8
12518.006320721357,9
12677.133519713578,10
12836.260718705798,10
12995.387917698019,9
13154.51511669024,8
13313.64231568246,8
13472.769514674681,9
13631.896713666902,9
13791.023912659122,9
13950.151111651343,10
14109.278310643564,10
14268.405509635784,10
14427.532708628005,11
14586.659907620226,11
14745.787106612446,9
14904.914305604667,9
15064.041504596888,9
15223.168703589108,9
15382.295902581329,9
15541.42310157355,8
15700.55030056577,8
15859.67749955799,8
16018.804698550211,8
16177.931897542432,8
16337.059096534653,7
16496.186295526873,9
16655.313494519094,8
16814.440693511315,8
16973.567892503535,7
17132.695091495756,7
17291.822290487977,8
17450.949489480197,6
17610.076688472418,7
17769.20388746464,7
17928.33108645686,6
18087.45828544908,4
18246.5854844413,5
18405.71268343352,5
18564.839882425742,6
18723.967081417963,6
18883.094280410183,6
19042.221479402404,5
19201.348678394625,6
19360.475877386845,7
19519.603076379066,5
19678.730275371287,6
19837.857474363507,6
19996.984673355728,6
20156.11187234795,6
20315.23907134017,6
20474.36627033239,6
20633.49346932461,6
20792.62066831683,7
20951.74786730905,6
21110.875066301272,5
21270.002265293493,5
21429.129464285714,5
21588.256663277934,5
21747.383862270155,5
21906.511061262376,5
22065.638260254596,5
22224.765459246817,5
22383.892658239038,5
