Time,Occupancy
100.46865640599002,8
251.17164101497505,8
401.87462562396007,9
552.5776102329451,8
703.2805948419301,8
853.9835794509152,8
1004.6865640599002,8
1155.3895486688853,8
1306.0925332778702,8
1456.7955178868554,9
1607.4985024958403,9
1758.2014871048254,9
1908.9044717138104,9
2059.6074563227953,9
2210.3104409317802,9
2361.0134255407656,9
2511.7164101497506,9
2662.4193947587355,9
2813.1223793677204,9
2963.8253639767054,9
3114.5283485856908,9
3265.2313331946757,9
3415.9343178036606,9
3566.6373024126456,9
3717.3402870216305,9
3868.043271630616,9
4018.746256239601,9
4169.449240848586,9
4320.152225457571,8
4470.855210066556,8
4621.558194675541,8
4772.2611792845255,8
4922.964163893511,8
5073.667148502496,7
5224.370133111481,7
5375.073117720466,8
5525.776102329451,6
5676.479086938436,7
5827.182071547421,7
5977.885056156406,6
6128.588040765391,6
6279.291025374376,6
6429.994009983361,6
6580.6969945923465,6
6731.399979201331,6
6882.102963810316,8
7032.805948419302,8
7183.508933028286,7
7334.211917637272,8
7484.914902246256,8
7635.6178868552415,8
7786.320871464227,8
7937.023856073211,7
8087.726840682197,8
8238.429825291181,8
8389.132809900166,7
8539.835794509152,7
8690.538779118137,8
8841.241763727121,8
8991.944748336107,7
9142.647732945092,8
9293.350717554076,8
9444.053702163063,6
9594.756686772047,7
9745.459671381032,7
9896.162655990016,7
10046.865640599002,7
10197.568625207987,7
10348.271609816971,6
10498.974594425958,6
10649.677579034942,7
10800.380563643927,8
10951.083548252913,8
11101.786532861897,8
11252.489517470882,8
11403.192502079868,8
11553.895486688853,9
11704.598471297837,9
11855.301455906822,9
12006.004440515808,9
12156.707425124792,9
12307.410409733777,9
12458.113394342763,9
12608.816378951748,9
12759.519363560732,10
12910.222348169718,9
13060.925332778703,9
13211.628317387687,8
13362.331301996672,8
13513.034286605658,9
13663.737271214643,9
13814.440255823627,9
13965.143240432613,8
14115.846225041598,8
14266.549209650582,9
14417.252194259569,7
14567.955178868553,8
14718.658163477538,9
14869.361148086522,9
15020.064132695508,9
15170.767117304493,9
15321.470101913477,8
15472.173086522464,8
15622.876071131448,8
15773.579055740433,8
15924.282040349419,8
16074.985024958403,8
16225.688009567388,8
16376.390994176372,8
16527.093978785357,8
16677.796963394343,8
16828.49994800333,8
16979.202932612312,9
17129.9059172213,8
17280.608901830285,8
17431.311886439267,9
17582.014871048254,10
17732.71785565724,11
17883.420840266223,9
18034.12382487521,9
18184.826809484195,8
18335.529794093178,9
18486.232778702164,9
18636.935763311147,9
18787.638747920133,9
18938.34173252912,9
19089.044717138102,9
19239.74770174709,10
19390.450686356075,10
19541.153670965057,12
19691.856655574044,11
19842.55964018303,11
19993.262624792013,12
20143.965609401,10
20294.668594009985,11
20445.371578618968,9
20596.074563227954,11
20746.77754783694,11
20897.480532445923,10
21048.18351705491,10
21198.886501663896,12
21349.58948627288,10
21500.292470881865,11
21650.99545549085,11
21801.698440099834,10
21952.40142470882,9
22103.104409317802,10
22253.80739392679,10
22404.510378535775,10
22555.213363144758,9
22705.916347753744,9
22856.61933236273,9
23007.322316971713,8
23158.0253015807,8
23308.728286189686,9
23459.43127079867,8
23610.134255407655,8
23760.83724001664,8
23911.540224625624,8
24062.24320923461,8
24212.946193843596,8
24363.64917845258,10
24514.352163061565,9
24665.05514767055,9
24815.758132279534,8
24966.46111688852,8
25117.164101497503,8
25267.86708610649,8
25418.570070715476,8
25569.27305532446,8
25719.976039933445,9
25870.67902454243,8
26021.382009151414,9
26172.0849937604,9
26322.787978369386,9
26473.49096297837,9
26624.193947587355,9
26774.89693219634,9
26925.599916805324,10
27076.30290141431,10
27227.005886023297,10
27377.70887063228,10
27528.411855241266,10
27679.114839850252,9
27829.817824459235,9
27980.52080906822,9
28131.223793677207,9
28281.92677828619,8
28432.629762895176,8
28583.33274750416,9
28734.035732113145,10
28884.73871672213,9
29035.441701331114,9
29186.1446859401,8
29336.847670549087,9
29487.55065515807,9
29638.253639767056,8
29788.956624376042,7
29939.659608985025,8
30090.36259359401,7
30241.065578202997,7
30391.76856281198,7
30542.471547420966,8
30693.174532029952,7
30843.877516638935,8
30994.58050124792,8
31145.283485856908,9
31295.98647046589,11
31446.689455074877,8
31597.39243968386,8
31748.095424292846,8
31898.798408901832,8
32049.501393510815,8
32200.2043781198,8
32350.907362728787,9
32501.61034733777,8
32652.313331946756,10
32803.01631655574,8
32953.719301164725,9
33104.42228577371,8
33255.1252703827,9
33405.828254991684,9
33556.53123960066,8
33707.23422420965,10
33857.937208818636,10
34008.64019342762,9
34159.34317803661,10
34310.046162645594,9
34460.74914725457,9
34611.45213186356,9
34762.155116472546,7
34912.85810108153,7
35063.56108569052,7
35214.264070299505,7
35364.967054908484,7
35515.67003951747,6
35666.37302412646,7
35817.07600873544,6
35967.77899334443,6
36118.481977953415,6
36269.184962562395,5
36419.88794717138,6
36570.59093178037,6
36721.29391638935,7
36871.99690099834,6
37022.69988560732,6
37173.402870216305,6
37324.10585482529,6
37474.80883943428,6
37625.511824043264,5
37776.21480865225,5
37926.91779326123,5
38077.620777870216,5
38228.3237624792,5
38379.02674708819,7
38529.729731697174,6
38680.43271630616,6
38831.13570091514,6
38981.838685524126,6
39132.54167013311,6
39283.2446547421,7
39433.947639351085,7
39584.650623960064,7
39735.35360856905,7
39886.05659317804,7
40036.75957778702,7
40187.46256239601,7
40338.165547004995,7
40488.868531613974,7
40639.57151622296,8
40790.27450083195,7
40940.97748544093,8
41091.68047004992,8
41242.383454658906,8
41393.086439267885,7
41543.78942387687,8
41694.49240848586,8
41845.195393094844,7
41995.89837770383,7
42146.60136231282,7
42297.304346921796,7
42448.00733153078,7
42598.71031613977,7
