Time,Occupancy
106.08479932814708,6
265.21199832036774,6
424.33919731258834,6
583.466396304809,6
742.5935952970298,7
901.7207942892503,8
1060.847993281471,8
1219.9751922736916,8
1379.1023912659125,7
1538.229590258133,7
1697.3567892503534,7
1856.4839882425738,7
2015.6111872347947,7
2174.7383862270153,7
2333.865585219236,6
2492.992784211457,6
2652.119983203677,6
2811.247182195898,7
2970.374381188118,7
3129.5015801803393,6
3288.6287791725604,8
3447.755978164781,7
3606.883177157001,6
3766.010376149222,7
3925.137575141442,7
4084.2647741336627,7
4243.391973125884,7
4402.5191721181045,7
4561.646371110324,7
4720.773570102546,6
4879.9007690947665,6
5039.027968086987,5
5198.155167079208,6
5357.282366071428,8
5516.409565063649,8
5675.536764055871,9
5834.6639630480895,9
5993.791162040311,7
6152.918361032532,7
6312.045560024752,7
6471.172759016973,6
6630.299958009195,7
6789.427157001413,6
6948.554355993635,5
7107.681554985855,5
7266.808753978075,5
7425.935952970295,6
7585.063151962517,6
7744.190350954737,9
7903.317549946958,6
8062.444748939179,7
8221.5719479314,8
8380.69914692362,7
8539.82634591584,6
8698.953544908061,7
8858.080743900282,7
9017.207942892504,8
9176.335141884723,7
9335.462340876944,6
9494.589539869165,8
9653.716738861383,8
9812.843937853606,8
9971.971136845828,9
10131.098335838047,10
10290.225534830268,9
10449.352733822489,8
10608.47993281471,8
10767.60713180693,8
10926.73433079915,8
11085.861529791373,8
11244.988728783592,8
11404.115927775812,10
11563.243126768033,8
11722.370325760254,8
11881.497524752473,8
12040.624723744695,7
12199.751922736916,9
12358.879121729136,8
12518.006320721355,9
12677.13351971358,10
12836.260718705798,10
12995.38791769802,9
13154.515116690241,8
13313.642315682459,8
13472.769514674681,9
13631.896713666902,9
13791.02391265912,9
13950.151111651345,10
14109.278310643564,10
14268.405509635784,10
14427.532708628003,11
14586.659907620227,11
14745.787106612446,9
14904.914305604669,9
15064.041504596888,9
15223.168703589108,9
15382.295902581329,9
15541.42310157355,8
15700.550300565768,8
15859.67749955799,8
16018.804698550213,8
16177.931897542432,8
16337.059096534651,7
16496.186295526873,9
16655.313494519094,8
16814.440693511315,8
16973.567892503535,7
17132.695091495756,7
17291.822290487977,8
17450.949489480194,6
17610.076688472418,7
17769.203887464642,7
17928.33108645686,6
18087.458285449084,4
18246.585484441297,5
18405.712683433518,5
18564.839882425746,6
18723.967081417963,6
18883.094280410183,6
19042.221479402404,5
19201.348678394625,6
19360.47587738684,7
19519.603076379066,5
19678.73027537129,6
19837.857474363507,6
19996.984673355728,6
20156.11187234795,6
20315.23907134017,6
20474.36627033239,6
20633.49346932461,6
20792.62066831683,7
20951.74786730905,6
21110.875066301272,5
21270.00226529349,5
21429.129464285714,5
21588.25666327793,5
21747.383862270155,5
21906.511061262376,5
22065.6382602546,5
22224.765459246817,5
22383.892658239038,5
22543.01985723126,6
22702.147056223483,6
22861.2742552157,6
23020.40145420792,6
23179.52865320014,6
23338.655852192358,6
23497.783051184586,5
23656.910250176803,5
23816.037449169024,4
23975.164648161244,5
24134.29184715346,5
24293.41904614569,6
24452.546245137906,5
24611.673444130127,6
24770.800643122348,4
24929.927842114572,4
25089.055041106792,3
25248.18224009901,4
25407.30943909123,5
25566.43663808345,5
25725.563837075668,5
25884.691036067885,5
26043.818235060116,5
26202.945434052333,5
26362.072633044554,5
26521.19983203677,5
26680.327031028995,5
26839.454230021216,5
26998.581429013444,5
27157.708628005654,5
27316.83582699788,5
27475.9630259901,5
27635.09022498232,5
27794.21742397454,5
27953.344622966757,5
28112.47182195898,4
28271.599020951202,5
28430.72621994342,5
28589.85341893564,3
28748.98061792786,4
28908.107816920085,4
29067.2350159123,4
29226.362214904522,4
29385.489413896743,4
29544.616612888964,4
29703.74381188118,4
29862.871010873405,4
30021.998209865626,5
30181.125408857846,4
30340.252607850067,4
30499.37980684229,4
30658.507005834508,4
30817.634204826732,4
30976.76140381895,4
31135.888602811166,4
31295.015801803387,4
31454.14300079561,4
31613.270199787832,4
31772.397398780053,4
31931.524597772277,4
32090.65179676449,4
32249.778995756715,6
32408.90619474893,6
32568.033393741163,5
32727.160592733373,5
32886.2877917256,6
33045.414990717814,6
33204.54218971004,6
33363.66938870226,7
33522.79658769448,6
33681.923786686704,6
33841.05098567892,6
34000.178184671146,6
34159.30538366336,6
34318.43258265559,6
34477.559781647804,6
34636.68698064003,6
34795.814179632245,6
34954.94137862447,6
35114.06857761669,6
35273.19577660891,6
35432.322975601135,6
35591.45017459335,5
35750.57737358557,5
35909.704572577786,6
36068.83177157002,5
36227.95897056224,5
36387.08616955445,5
36546.213368546676,5
36705.340567538886,5
36864.46776653112,5
37023.59496552333,5
37182.72216451556,5
37341.849363507776,5
37500.9765625,5
37660.10376149222,5
37819.23096048444,5
37978.35815947666,5
38137.48535846888,5
38296.6125574611,5
38455.73975645333,5
38614.866955445534,5
38773.994154437765,5
38933.12135342998,5
39092.248552422214,5
39251.375751414416,6
39410.50295040665,5
39569.63014939887,5
39728.75734839109,5
39887.884547383306,5
40047.01174637553,6
40206.13894536775,6
40365.26614435997,5
40524.39334335219,5
40683.52054234441,6
40842.64774133663,5
41001.77494032885,5
41160.90213932107,5
41320.029338313296,5
41479.15653730551,5
41638.28373629774,5
41797.410935289954,6
41956.538134282186,5
42115.6653332744,6
42274.79253226662,5
42433.91973125884,6
42593.04693025106,6
42752.17412924328,6
42911.301328235495,6
43070.42852722772,6
43229.555726219936,6
43388.68292521216,6
43547.81012420439,5
43706.9373231966,5
43866.064522188826,5
44025.191721181036,5
44184.318920173275,5
44343.44611916549,5
44502.573318157716,7
44661.70051714993,5
44820.82771614215,7
44979.95491513437,6
45139.08211412659,6
45298.20931311881,5
45457.33651211103,5
45616.46371110325,5
45775.59091009547,5
45934.718109087684,5
46093.845308079915,6
46252.97250707213,7
46412.09970606434,5
46571.226905056574,4
46730.35410404879,4
46889.481303041015,4
47048.60850203323,4
47207.73570102546,5
47366.862900017666,5
47525.990099009905,5
47685.11729800212,5
47844.24449699434,5
48003.37169598656,5
48162.49889497878,4
48321.626093971,5
48480.75329296322,5
48639.88049195544,5
48799.00769094766,5
48958.13488993988,5
49117.2620889321,5
49276.389287924314,5
49435.51648691655,6
49594.64368590876,6
49753.77088490099,5
49912.898083893204,6
50072.02528288543,5
