Time,Occupancy
83.2443809556691,3
208.11095238917275,2
332.9775238226764,2
457.8440952561801,3
582.7106666896838,2
707.5772381231874,1
832.443809556691,0
957.3103809901946,1
1082.1769524236984,2
1207.043523857202,3
1331.9100952907056,3
1456.7766667242092,2
1581.6432381577129,2
1706.5098095912167,4
1831.3763810247203,2
1956.242952458224,2
2081.1095238917273,3
2205.976095325231,2
2330.842666758735,2
2455.7092381922384,2
2580.5758096257423,2
2705.4423810592457,2
2830.3089524927495,2
2955.175523926253,3
3080.042095359757,2
3204.9086667932606,2
3329.775238226764,2
3454.641809660268,3
3579.5083810937713,3
3704.374952527275,1
3829.2415239607785,1
3954.1080953942824,2
4078.974666827786,1
4203.84123826129,1
4328.7078096947935,1
4453.574381128297,2
4578.4409525618,2
4703.307523995304,1
4828.174095428808,1
4953.040666862312,1
5077.907238295816,1
5202.773809729319,1
5327.640381162822,1
5452.506952596326,0
5577.37352402983,0
5702.240095463333,1
5827.106666896837,1
5951.973238330341,1
6076.839809763845,1
6201.7063811973485,2
6326.572952630851,1
6451.439524064355,1
6576.306095497859,1
6701.172666931363,1
6826.039238364867,1
6950.90580979837,1
7075.772381231874,1
7200.6389526653775,1
7325.505524098881,1
7450.372095532384,0
7575.238666965888,1
7700.105238399392,1
7824.971809832896,1
7949.8383812664,1
8074.704952699903,1
8199.571524133407,1
8324.43809556691,1
8449.304667000413,1
8574.171238433917,1
8699.037809867421,1
8823.904381300925,2
8948.770952734429,2
9073.637524167932,1
9198.504095601436,1
9323.37066703494,2
9448.237238468442,2
9573.103809901946,2
9697.97038133545,1
9822.836952768954,1
9947.703524202458,1
10072.570095635961,2
10197.436667069465,1
10322.30323850297,1
10447.169809936473,1
10572.036381369977,1
10696.902952803479,2
10821.769524236983,2
10946.636095670487,1
11071.50266710399,2
11196.369238537494,1
11321.235809970998,1
11446.102381404502,3
11570.968952838006,2
11695.83552427151,3
11820.702095705012,2
11945.568667138516,1
12070.43523857202,1
12195.301810005523,2
12320.168381439027,1
12445.034952872531,3
12569.901524306035,3
12694.768095739539,3
12819.634667173043,3
12944.501238606545,3
13069.367810040048,4
13194.234381473552,3
13319.100952907056,3
13443.96752434056,4
13568.834095774064,2
13693.700667207568,1
13818.567238641072,3
13943.433810074575,1
14068.300381508077,2
14193.166952941581,2
14318.033524375085,3
14442.900095808589,4
14567.766667242093,3
14692.633238675597,3
14817.4998101091,3
14942.366381542604,3
15067.232952976108,1
15192.099524409612,1
15316.966095843114,1
15441.832667276618,1
15566.699238710122,0
15691.565810143626,2
15816.43238157713,1
15941.298953010633,0
16066.165524444137,0
16191.032095877641,1
16315.898667311145,1
16440.765238744647,1
16565.63181017815,1
16690.498381611655,1
16815.36495304516,1
16940.231524478662,0
17065.098095912166,2
17189.96466734567,2
17314.831238779174,2
17439.697810212678,2
17564.56438164618,2
17689.430953079685,2
17814.29752451319,3
17939.164095946693,1
18064.030667380197,1
18188.897238813697,1
18313.7638102472,2
18438.630381680705,2
18563.49695311421,1
18688.363524547713,1
18813.230095981216,1
18938.09666741472,1
19062.963238848224,1
19187.829810281728,2
