Layer,Start,End,Style,Name,MarginL,MarginR,MarginV,Effect,Text
0,0:00:00.00,0:00:05.00,Default,,0,0,0,,3
0,0:00:05.00,0:00:23.20,Default,,0,0,0,,4
0,0:00:23.20,0:00:43.30,Default,,0,0,0,,3
0,0:00:43.30,0:01:17.30,Default,,0,0,0,,4
0,0:01:17.30,0:02:17.00,Default,,0,0,0,,5
0,0:02:17.00,0:02:25.66,Default,,0,0,0,,4
0,0:02:25.66,0:02:44.00,Default,,0,0,0,,3
0,0:02:44.00,0:03:14.00,Default,,0,0,0,,2
0,0:03:14.00,0:03:20.60,Default,,0,0,0,,1
0,0:03:20.60,0:03:38.60,Default,,0,0,0,,2
0,0:03:38.60,0:04:10.60,Default,,0,0,0,,3
0,0:04:10.60,0:04:30.00,Default,,0,0,0,,4
0,0:04:30.00,0:04:32.66,Default,,0,0,0,,3
0,0:04:32.66,0:05:16.03,Default,,0,0,0,,2
0,0:05:16.03,0:05:29.63,Default,,0,0,0,,3
0,0:05:29.63,0:06:02.63,Default,,0,0,0,,2
0,0:06:02.63,0:06:09.73,Default,,0,0,0,,3
0,0:06:09.73,0:07:20.27,Default,,0,0,0,,2
0,0:07:20.27,0:07:51.97,Default,,0,0,0,,3
0,0:07:51.97,0:07:59.53,Default,,0,0,0,,4
0,0:07:59.53,0:08:04.20,Default,,0,0,0,,3
0,0:08:04.20,0:08:28.96,Default,,0,0,0,,2
0,0:08:28.96,0:08:33.33,Default,,0,0,0,,2
0,0:08:33.33,0:08:43.16,Default,,0,0,0,,1
0,0:08:43.16,0:08:57.06,Default,,0,0,0,,2
0,0:08:57.06,0:09:05.80,Default,,0,0,0,,1
0,0:09:05.80,0:09:08.10,Default,,0,0,0,,0
0,0:09:08.10,0:09:20.23,Default,,0,0,0,,1
0,0:09:20.23,0:09:28.40,Default,,0,0,0,,2
0,0:09:28.40,0:09:33.26,Default,,0,0,0,,3
0,0:09:33.26,0:09:34.50,Default,,0,0,0,,2
0,0:09:34.50,0:09:35.90,Default,,0,0,0,,3
0,0:09:35.90,0:10:25.80,Default,,0,0,0,,2
0,0:10:25.80,0:10:43.30,Default,,0,0,0,,3
0,0:10:43.30,0:10:58.40,Default,,0,0,0,,4
0,0:10:58.40,0:12:11.58,Default,,0,0,0,,5
0,0:12:11.58,0:12:55.56,Default,,0,0,0,,6
0,0:12:55.56,0:12:58.66,Default,,0,0,0,,5
0,0:12:58.66,0:13:27.46,Default,,0,0,0,,4
