Time,Observation,Reward,Action
20181003-130006,"[0.00391007 0.01075269 0.02248289 0.01368524 0.06353861 0.0058651
 0.         0.         0.00097752 0.00391007 0.01661779 0.00782014
 0.05962854 0.00782014 0.         0.02443793 0.0058651  0.00293255
 0.01661779 0.00782014 0.05962854 0.00782014 0.00195503 0.00293255
 0.0058651  0.00293255 0.00782014 0.04203324 0.05962854 0.00782014
 0.00195503 0.00293255 0.0058651  0.00293255 0.00782014 0.04203324
 0.05962854 0.00782014 0.00195503 0.00293255]",0.6089931573802541,"[-0.93815815 -0.9976935   0.9998065   0.9992848  -0.9999172  -0.99223995
  0.99900126  0.9990015   0.9972318   0.9997755   0.999754   -0.9250574
 -0.99893236 -0.99527395  0.9974471  -0.9996131  -0.9765333   0.9999298
 -0.99933594  0.99955684 -0.9850138   0.99999803  0.9997693   0.99499583
 -0.7863311  -0.8970397  -0.99964875 -0.9378577  -0.86996925 -0.99942696
  0.99963903 -0.83551913 -0.9985106   0.99593717 -0.99900323 -0.9995839
 -0.96844673  0.9677226   0.9995524   0.9022078  -0.99242747  0.99364394
 -0.9989562   0.99982756  0.97864926 -0.97099435 -0.9821152  -0.9690438
  0.99920017 -0.6985758   0.99580646 -0.99988097 -0.99997663 -0.99931645
 -0.9563505   0.9993615   0.997784   -0.999372    0.98997426 -0.9995455
  0.89225096 -0.91764164 -0.9561902   0.99969655]"
20181003-130022,"[0.00684262 0.00391007 0.01857283 0.00782014 0.28739003 0.00782014
 0.00195503 0.13782991 0.00684262 0.00391007 0.01857283 0.00782014
 0.28739003 0.00782014 0.00195503 0.13782991 0.00684262 0.00391007
 0.01857283 0.00782014 0.28739003 0.00782014 0.00195503 0.13782991
 0.00684262 0.00391007 0.01857283 0.00782014 0.28739003 0.00782014
 0.00195503 0.13782991 0.00684262 0.00391007 0.01857283 0.00782014
 0.28739003 0.00782014 0.00195503 0.13782991]",2.3607038123167157,"[-0.9958146  -0.9999139   1.          0.9999999  -1.         -0.9999788
  0.9999963   0.9999995   0.9999778   0.9999999   0.99999976 -0.97429293
 -0.999993   -0.99997663  0.9999995  -0.99999785 -0.99997866  1.
 -0.9999982   0.99999326 -0.9999144   1.          0.9999999   0.9999129
 -0.93370897 -0.9719094  -0.9999989  -0.9986874  -0.98880434 -0.9999941
  0.99999994 -0.97938496 -0.9999974   0.9999958  -0.999997   -0.9999999
 -0.99859476  0.9996765   0.9999998   0.99853253 -0.9999555   0.99998593
 -0.9999794   1.          0.9978987  -0.9997256  -0.99995553 -0.9993918
  0.9999971  -0.99254054  0.9999971  -1.         -1.         -0.9999998
 -0.99947625  1.          0.9999991  -0.9999998   0.9998577  -0.99999976
  0.99666065 -0.999812   -0.99758196  0.99999994]"
20181003-130035,"[0.01270772 0.00684262 0.02052786 0.00488759 0.03225806 0.01173021
 0.00195503 0.0058651  0.01270772 0.00684262 0.02052786 0.00488759
 0.03225806 0.01173021 0.00195503 0.0058651  0.01270772 0.00684262
 0.02052786 0.00488759 0.03225806 0.01173021 0.00195503 0.0058651
 0.02052786 0.01270772 0.01075269 0.01075269 0.02248289 0.01759531
 0.         0.         0.00879765 0.01466276 0.02248289 0.00782014
 0.01173021 0.01173021 0.         0.0058651 ]",0.46823069403714546,"[ 0.4865152  -0.07750372 -0.6227541  -0.5760707   0.00804995 -0.9516928
  0.00473369  0.44241717  0.39513752 -0.48728544  0.12578592  0.16242303
  0.9590268   0.38944367 -0.7207662  -0.607009   -0.49302173  0.9537432
  0.9460194   0.37707007  0.05109346 -0.81948256  0.23074037  0.42295
 -0.14230594 -0.8293886  -0.47727743 -0.7133326   0.63560474  0.7486711
 -0.08814227 -0.39474165 -0.9099761   0.2569312   0.3068863  -0.03170859
 -0.36987588 -0.13204755 -0.44606137  0.23937012 -0.7243953   0.6340488
  0.3681907  -0.54735535  0.32865548 -0.3363092   0.42440477  0.6257913
  0.39853486 -0.7739866   0.07823374  0.5491697   0.3571228   0.9944581
 -0.5116166   0.5486451  -0.19584209  0.94978094 -0.6689969   0.6251105
  0.99046326  0.39762437 -0.8409742   0.47477156]"
20181003-130036,"[0.01661779 0.00977517 0.01564027 0.01173021 0.00879765 0.01075269
 0.         0.         0.01661779 0.00977517 0.01564027 0.01173021
 0.00879765 0.01075269 0.         0.         0.01857283 0.02443793
 0.02737048 0.01466276 0.02248289 0.01466276 0.00097752 0.00684262
 0.00097752 0.00097752 0.00782014 0.         0.01564027 0.01759531
 0.01661779 0.00782014 0.01564027 0.02737048 0.0058651  0.00195503
 0.01955034 0.00097752 0.         0.        ]",0.4154447702834798,"[-0.9365697  -0.99881643  0.9991434   0.9971199  -0.9997858  -0.989308
  0.9991936   0.99916327  0.99543947  0.99974704  0.9994404  -0.90552557
 -0.9986237  -0.9960429   0.99573797 -0.9994407  -0.9485804   0.9998303
 -0.9994027   0.9995082  -0.98985773  0.999993    0.9997986   0.993635
 -0.89563197 -0.91413707 -0.99938536 -0.8945088  -0.7874343  -0.99947476
  0.9994424  -0.81274056 -0.99793065  0.9839596  -0.99914837 -0.99909484
 -0.9198976   0.9667601   0.99959326  0.83096087 -0.97402567  0.985232
 -0.9986099   0.99864274  0.98436886 -0.9527978  -0.95400625 -0.8570229
  0.999159   -0.548816    0.9911369  -0.99955    -0.9999188  -0.99708474
 -0.9500401   0.9978729   0.99651915 -0.99827063  0.9924321  -0.998154
  0.8897566  -0.73995656 -0.9579947   0.99929714]"
20181003-130038,"[0.00195503 0.00097752 0.01270772 0.00293255 0.00488759 0.03323558
 0.00097752 0.00684262 0.00097752 0.00097752 0.028348   0.00488759
 0.00488759 0.03323558 0.00391007 0.00488759 0.00097752 0.00097752
 0.028348   0.00488759 0.00488759 0.03323558 0.00391007 0.00488759
 0.00097752 0.00097752 0.028348   0.00488759 0.00488759 0.03323558
 0.00391007 0.00488759 0.00097752 0.00097752 0.028348   0.00488759
 0.00488759 0.03323558 0.00391007 0.00488759]",0.39296187683284445,"[ 0.7685637  -0.12382291  0.32869998  0.08230044  0.15448262  0.79045117
  0.683954    0.82638276  0.615106   -0.70488876  0.9509547   0.1367655
 -0.6018728   0.7994836   0.54457283 -0.4548794  -0.29510486 -0.12604767
  0.6567184  -0.58906204  0.7171718   0.7304042  -0.59007007  0.26155335
  0.37476575  0.4426559   0.35005578  0.3188248  -0.3927354   0.5194756
  0.34934708 -0.552423   -0.82630116 -0.22567195  0.78976357 -0.08316932
 -0.25555775  0.3718946  -0.65600073 -0.5641576  -0.15061341  0.7099688
 -0.39476293 -0.79069734  0.4997978  -0.9173718  -0.5426048   0.39935684
 -0.23364225  0.38430414  0.80106425 -0.6482973  -0.33161408 -0.2280013
  0.71565425  0.24524577 -0.7532722   0.6733911   0.90419424  0.61769706
  0.49964    -0.56728506 -0.29628295  0.9653145 ]"
20181003-130039,"[0.00097752 0.00097752 0.028348   0.00488759 0.00488759 0.03323558
 0.00391007 0.00488759 0.00097752 0.00097752 0.028348   0.00488759
 0.00488759 0.03323558 0.00391007 0.00488759 0.00195503 0.00488759
 0.05767351 0.01270772 0.00097752 0.00293255 0.         0.
 0.00391007 0.00097752 0.03323558 0.00488759 0.02150538 0.02443793
 0.         0.02639296 0.00195503 0.00879765 0.         0.
 0.00195503 0.00195503 0.         0.        ]",0.3753665689149559,"[ 0.8578242   0.31518686  0.04195699 -0.89044946 -0.7964576   0.15393603
  0.80866814  0.19091542 -0.07180666 -0.8087944   0.41024145  0.3822717
 -0.25436646 -0.01038311  0.60826206  0.7105455   0.02100558 -0.5587819
 -0.5576625  -0.95160735  0.2345636   0.21602134  0.996361   -0.65983474
 -0.29325688 -0.5398442   0.0587536  -0.840387    0.9417724   0.7694376
  0.24796534  0.8297882   0.82422423 -0.13374536  0.56775594 -0.2530704
 -0.85879964 -0.64776444  0.5031392   0.8206741  -0.90038496 -0.98899186
  0.2510102   0.07864548  0.7093327  -0.42036158  0.15633279 -0.6060303
 -0.15459342  0.9144324   0.3300909  -0.6171923  -0.37622777 -0.26506388
 -0.3450093  -0.21007375 -0.28224865 -0.24084221 -0.06685588 -0.5154942
  0.26101488  0.04952332  0.1971009   0.581579  ]"
20181003-130042,"[0.00097752 0.00097752 0.02248289 0.01075269 0.01173021 0.01173021
 0.         0.0058651  0.00097752 0.00097752 0.02248289 0.01075269
 0.01173021 0.01173021 0.         0.0058651  0.00097752 0.00097752
 0.02248289 0.01075269 0.01173021 0.01173021 0.         0.0058651
 0.00097752 0.00097752 0.02248289 0.01075269 0.01173021 0.01173021
 0.         0.0058651  0.00782014 0.00977517 0.02541544 0.02248289
 0.00782014 0.04203324 0.         0.00195503]",0.37536656891495596,"[-0.7998851   0.32379436 -0.22066921  0.75613403 -0.26003438  0.45591933
 -0.91306317  0.21169147 -0.21481311  0.56837326 -0.7229524  -0.6086658
  0.5087294  -0.822097    0.91968995 -0.50514627  0.08426243 -0.67091876
  0.06902806  0.8688358   0.5469089  -0.9887497   0.3316448   0.67938954
 -0.6116617   0.9098604   0.8671825   0.40496245  0.90519804 -0.9914254
 -0.38225776 -0.03917288 -0.6103328  -0.3249736   0.6534701   0.5607324
 -0.7353886   0.32607734  0.10471932  0.21772857  0.89594036 -0.40914744
 -0.08014816 -0.35228017  0.44353724  0.18617219  0.6147005   0.16063474
 -0.30698282 -0.8893781  -0.3269144  -0.05031946  0.16726555  0.7889006
  0.04585141  0.6897838  -0.16437437 -0.46049416 -0.89299124  0.40629426
  0.20618892  0.63409615 -0.755881   -0.64815444]"
20181003-130043,"[0.01270772 0.01661779 0.028348   0.01955034 0.00977517 0.01368524
 0.         0.         0.01270772 0.01661779 0.028348   0.01955034
 0.00977517 0.01368524 0.         0.         0.01270772 0.01661779
 0.028348   0.01955034 0.00977517 0.01368524 0.         0.
 0.01270772 0.01661779 0.028348   0.01955034 0.00977517 0.01368524
 0.         0.         0.01270772 0.01661779 0.028348   0.01955034
 0.00977517 0.01368524 0.         0.        ]",0.5034213098729226,"[-0.9521508  -0.9990579   0.9995423   0.9982743  -0.9998696  -0.9915927
  0.99933463  0.9994847   0.9971481   0.9998076   0.99966186 -0.92274475
 -0.9990889  -0.9972772   0.99764156 -0.9995292  -0.9667253   0.99992126
 -0.9995528   0.9997013  -0.991336    0.9999964   0.99985874  0.995168
 -0.91473067 -0.9059041  -0.99958515 -0.9276897  -0.7929122  -0.99963593
  0.99962217 -0.84345156 -0.9986886   0.9891211  -0.9993808  -0.99938726
 -0.9400515   0.9763937   0.99973214  0.8618076  -0.9811929   0.9890956
 -0.99912035  0.9992235   0.98948616 -0.9610019  -0.962896   -0.87819225
  0.9993872  -0.65600795  0.99479157 -0.9996883  -0.9999551  -0.99855787
 -0.95353     0.99872756  0.9978848  -0.9989156   0.99451756 -0.9990394
  0.90498906 -0.7817084  -0.96136343  0.9995406 ]"
20181003-130044,"[0.00195503 0.00293255 0.02150538 0.01075269 0.01368524 0.00391007
 0.00782014 0.         0.01075269 0.0058651  0.00488759 0.00195503
 0.01368524 0.00391007 0.00488759 0.00391007 0.0058651  0.00097752
 0.01075269 0.00293255 0.00879765 0.00879765 0.00782014 0.028348
 0.00097752 0.00195503 0.00488759 0.00293255 0.01661779 0.01661779
 0.00977517 0.00684262 0.00097752 0.00195503 0.00488759 0.00293255
 0.0058651  0.00293255 0.00977517 0.00684262]",0.2834799608993156,"[-0.9188957  -0.9983498   0.99871105  0.9963489  -0.99959266 -0.98458236
  0.99840474  0.9982614   0.99468434  0.9994949   0.9993106  -0.9139075
 -0.998089   -0.993297    0.9934388  -0.999223   -0.9365786   0.9996706
 -0.9988898   0.9992578  -0.9822199   0.9999877   0.9995997   0.9918161
 -0.86109596 -0.8861695  -0.99918884 -0.8903948  -0.77339727 -0.9990639
  0.99893016 -0.8063645  -0.99685824  0.981208   -0.9983821  -0.99860233
 -0.92765623  0.9584994   0.99916244  0.80798435 -0.97417986  0.9810442
 -0.99809587  0.99829197  0.9800742  -0.9434617  -0.94449604 -0.8805961
  0.99875784 -0.5477339   0.9863996  -0.999291   -0.9998549  -0.9967177
 -0.9329717   0.9971988   0.99480563 -0.99751306  0.98919535 -0.9978135
  0.85644233 -0.7179486  -0.9357843   0.99870896]"
20181003-130045,"[0.00097752 0.00195503 0.00488759 0.00293255 0.0058651  0.00293255
 0.00977517 0.00684262 0.00097752 0.00195503 0.00488759 0.00293255
 0.0058651  0.00293255 0.00977517 0.00684262 0.00097752 0.00195503
 0.00488759 0.00293255 0.0058651  0.00293255 0.00977517 0.00684262
 0.00097752 0.00195503 0.00488759 0.00293255 0.0058651  0.00293255
 0.00977517 0.00684262 0.00097752 0.00195503 0.00488759 0.00293255
 0.0058651  0.00293255 0.00977517 0.00684262]",0.18084066471163238,"[-0.91973364 -0.9974023   0.99810195  0.9955582  -0.9993528  -0.98159736
  0.9975846   0.9977746   0.99273896  0.9991528   0.99897665 -0.90974385
 -0.9973389  -0.99166924  0.9911667  -0.99855155 -0.9320834   0.9995116
 -0.9981118   0.99890757 -0.97798765  0.99998     0.9993451   0.9907651
 -0.8444465  -0.8713041  -0.99879223 -0.8945188  -0.74444956 -0.9984908
  0.9983643  -0.7877996  -0.995989    0.9792876  -0.9974582  -0.99794114
 -0.92502     0.96046185  0.99888057  0.7990438  -0.9709805   0.9803079
 -0.9971478   0.9975059   0.9738437  -0.93096083 -0.9312222  -0.8481899
  0.99801743 -0.5659132   0.9802666  -0.9989261  -0.9997757  -0.9959566
 -0.92802554  0.9962984   0.9919789  -0.99678504  0.98611134 -0.997192
  0.8464113  -0.72021526 -0.91725487  0.9978172 ]"
